Tweet_Length,Tweet_Date,UserName,Full_Tweets,Tweet_Links,at_word,Mention_Count
144,2023-01-31 22:05:43+00:00,Purina, at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes  make,https://t.co/83fKCWgWGx,GG2cracra,1
144,2023-01-31 22:05:10+00:00,Purina, at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes  makes f,https://t.co/gaa8pAwlAm,FordTx,1
143,2023-01-31 22:04:22+00:00,Purina, at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes ,https://t.co/5gaSJ3Qk7g,GizmosReviews,1
144,2023-01-31 22:02:42+00:00,Purina, at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes ,https://t.co/wyKAE24gOf,LittleDavidJr1,1
144,2023-01-31 22:01:42+00:00,Purina, at nestle purina  we make only dog   cat products  purina animal nutrition  owned by land  o lakes  mak,https://t.co/FIITnQZiXp,KonkelMike,1
99,2023-01-31 16:36:53+00:00,Purina, thank you for the amazing support you provide for these wonderful animals every day ,httpNone,YourSPCA,1
103,2023-01-31 16:15:31+00:00,Purina, we can t wait to see all our furry friends strut their stuff in this year s pet parade ,httpNone,in_thestl,1
140,2023-01-31 01:14:47+00:00,Purina, thank you for reaching out  louis  we are sorry to hear that your dogs are not eating this formula  t,https://t.co/BPP3MpzZm8,YabbaDabbaLou,1
140,2023-01-31 01:07:19+00:00,Purina, thanks for reaching out  we are very sorry to hear you had this experience  it s certainly not typic,https://t.co/1wjTqLiMnY,jeninkingston,1
140,2023-01-30 21:47:05+00:00,Purina, thank you for reaching out to us  please know that purina animal nutrition  formerly purina mills incor,https://t.co/0uURY9A0aI,A_tothe_Z_,1
140,2023-01-30 19:31:08+00:00,Purina, thank you your interest in our products  abdul  please send us a dm with more information about your com,https://t.co/qUwACQpNC8,AbdulOre,1
140,2023-01-30 14:49:07+00:00,Purina, we a paw logize that you are having a hard time finding your cats favorite meal  we are glad to learn h,https://t.co/6STnFjVhd8,ScottFantasy,1
